frame,error
321,1.4142135623730951
322,2.23606797749979
323,2.23606797749979
324,3.1622776601683795
325,4.123105625617661
326,5.0990195135927845
327,6.082762530298219
328,6.324555320336759
329,7.280109889280518
330,8.246211251235321
331,9.219544457292887
332,10.198039027185569
333,9.219544457292887
334,10.44030650891055
335,12.649110640673518
336,13.341664064126334
337,14.317821063276353
338,14.317821063276353
339,15.524174696260024
340,16.492422502470642
341,17.46424919657298
342,18.681541692269406
343,19.6468827043885
344,19.6468827043885
345,21.840329667841555
346,22.80350850198276
347,24.73863375370596
348,25.709920264364882
349,25.709920264364882
350,26.68332812825267
351,27.65863337187866
352,28.635642126552707
353,30.59411708155671
354,29.614185789921695
355,31.78049716414141
356,32.7566787083184
357,34.713109915419565
358,35.6931365951495
359,35.6931365951495
360,36.87817782917155
361,37.8549864614954
362,39.81205847478876
363,41.773197148410844
364,41.773197148410844
365,43.93176527297759
366,42.95346318982906
367,46.09772228646444
368,45.12205669071391
369,49.03060268852505
370,50.00999900019995
371,50.00999900019995
372,51.97114584074513
373,52.952809179494906
374,54.12947441089743
375,56.089214649520635
376,57.0701322935211
377,57.0701322935211
378,58.05170109479997
379,47.07440918375928
380,48.27007354458868
381,50.21951811795888
382,51.19570294468082
383,51.19570294468082
384,52.172789842982326
385,67.08203932499369
386,40.26164427839479
387,41.48493702538308
388,43.41658669218482
389,43.41658669218482
390,43.41658669218482
391,44.384682042344295
392,59.22837157984339
393,76.11832893594026
394,78.08969202141856
395,79.07591289387686
396,80.06247560499239
397,81.04936767180853
398,82.20097323024831
399,84.01190391843289
400,85.15867542417507
401,86.14522621712709
402,87.13208364316786
403,89.10667763978185
404,90.09439494219383
405,91.0823802938856
406,92.07062506576133
407,93.05912099305473
408,94.04786015641186
409,95.03683496413377
410,96.0260381354974
